chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
104.6,42.0,796,1687,L
111.6,38.7,916,1775,XL
97.5,41.3,820,1782,M
91.9,41.3,719,1781,S
92.6,39.7,683,1728,S
87.7,38.1,628,1729,S
110.5,41.6,894,1752,XL
99.0,38.9,618,1570,M
117.4,43.8,1041,1744,2XL
129.1,42.5,1345,1819,3XL
97.4,41.9,764,1842,M
104.6,43.1,874,1680,L
110.5,43.6,1008,1822,XL
105.2,43.1,806,1777,L
117.1,42.8,944,1775,2XL
98.8,39.5,769,1713,M
105.4,41.5,799,1747,L
126.7,44.9,1103,1854,3XL
124.8,45.9,1180,1799,3XL
116.7,41.8,997,1784,2XL
111.4,43.6,918,1739,XL
105.4,42.9,870,1730,L
117.0,42.7,992,1768,2XL
98.7,38.8,779,1688,M
125.7,44.4,1193,1805,3XL
105.8,43.9,916,1817,L
91.2,38.3,630,1727,S
111.4,42.8,984,1755,XL
93.6,40.2,651,1717,S
122.3,40.4,1115,1810,3XL
105.9,40.7,891,1790,L
99.8,40.5,741,1833,M
98.9,38.6,710,1620,M
93.2,40.9,653,1728,S
92.2,39.8,646,1767,S
105.4,41.7,811,1754,L
110.9,39.4,821,1723,XL
125.7,43.2,1176,1886,3XL
104.7,40.5,796,1668,L
99.5,40.9,701,1795,M
93.1,40.1,610,1678,S
111.3,40.6,881,1723,XL
110.7,44.2,998,1868,XL
125.3,43.3,1030,1678,3XL
126.0,40.8,1194,1779,3XL
111.6,45.8,1040,1900,XL
124.3,43.9,1240,1871,3XL
98.0,40.5,757,1754,M
123.9,41.7,1116,1717,3XL
111.9,41.5,920,1770,XL
93.9,41.0,700,1850,S
126.0,45.3,1127,1853,3XL
97.6,40.7,781,1750,M
90.6,42.1,634,1721,S
117.2,43.4,998,1706,2XL
99.4,42.9,844,1782,M
128.5,45.3,1371,1895,3XL
93.1,41.5,719,1859,S
105.8,41.3,903,1790,L
116.5,44.0,1057,1799,2XL
104.8,41.7,860,1716,L
110.8,41.0,882,1641,XL
128.9,46.5,1225,1890,3XL
99.1,40.2,723,1653,M
111.7,42.5,982,1797,XL
92.2,41.8,694,1796,S
111.9,41.5,940,1744,XL
99.0,40.0,705,1709,M
97.8,39.7,670,1692,M
88.7,38.0,599,1710,S
111.4,43.1,971,1798,XL
92.5,40.2,721,1772,S
111.6,44.7,886,1792,XL
99.3,38.3,689,1728,M
110.6,39.6,941,1701,XL
90.4,39.7,670,1800,S
105.4,40.6,848,1745,L
104.7,43.7,972,1942,L
93.8,40.0,847,1919,S
127.5,44.2,1195,1766,3XL
93.6,40.5,585,1686,S
111.7,39.9,938,1774,XL
123.7,45.5,1106,1882,3XL
116.7,41.5,1180,1911,2XL
97.8,40.4,791,1788,M
124.1,45.7,1273,1774,3XL
104.2,40.9,837,1767,L
110.1,38.2,940,1773,XL
132.7,46.3,1235,1797,3XL
111.4,42.7,1012,1862,XL
116.7,40.8,940,1771,2XL
122.6,43.5,1129,1889,3XL
110.8,42.3,895,1792,XL
92.2,38.1,640,1741,S
93.5,40.7,582,1707,S
116.9,42.7,1026,1807,2XL
98.1,41.1,722,1774,M
110.4,38.5,896,1795,XL
90.8,39.0,572,1787,S
99.7,42.6,808,1835,M
97.7,41.9,761,1745,M
123.2,42.6,1025,1687,3XL
93.3,39.8,645,1693,S
98.7,39.1,743,1674,M
97.2,41.0,825,1786,M
105.7,43.0,889,1827,L
98.6,39.5,773,1696,M
92.6,39.5,650,1767,S
92.2,41.4,611,1769,S
98.8,41.1,721,1638,M
98.1,38.7,592,1572,M
122.4,44.4,1186,1878,3XL
88.6,38.8,613,1730,S
90.6,41.8,670,1838,S
98.8,40.8,704,1720,M
93.6,42.1,682,1760,S
98.5,40.8,775,1793,M
104.3,42.1,761,1735,L
111.8,40.4,888,1641,XL
99.3,39.5,828,1713,M
105.6,41.8,856,1802,L
92.2,39.9,634,1753,S
98.8,42.8,677,1694,M
98.1,37.0,658,1572,M
122.4,46.3,1197,1890,3XL
93.9,39.4,753,1776,S
