chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1224,459,XXL,XXXL,conflict
1086,426,L,L,match
1217,418,XXL,L,conflict
1233,428,XXL,L,conflict
1121,405,XL,M,conflict
1050,381,M,XS,conflict
1157,446,XL,XXL,conflict
1151,404,XL,M,conflict
1097,409,L,M,conflict
1137,427,XL,L,conflict
1090,369,L,XS,conflict
1184,435,XXL,XL,conflict
1048,419,M,L,conflict
1143,420,XL,L,conflict
1061,393,L,S,conflict
1161,429,XL,XL,match
1153,437,XL,XL,match
1087,439,L,XL,conflict
1020,393,M,S,conflict
1037,411,M,M,match
1113,404,L,M,conflict
1064,418,L,L,match
1093,417,L,L,match
1102,405,L,M,conflict
1109,392,L,S,conflict
1106,435,L,XL,conflict
1086,389,L,S,conflict
1063,416,L,L,match
1129,427,XL,L,conflict
1037,443,M,XXL,conflict
1207,450,XXL,XXL,match
1073,421,L,L,match
1136,398,XL,S,conflict
1042,394,M,S,conflict
1125,453,XL,XXXL,conflict
1047,382,M,XS,conflict
1150,427,XL,L,conflict
1048,400,M,S,conflict
1146,448,XL,XXL,conflict
1090,423,L,L,match
1196,443,XXL,XXL,match
1078,426,L,L,match
1012,399,M,S,conflict
1127,412,XL,M,conflict
990,434,S,XL,conflict
956,401,S,S,match
1053,396,M,S,conflict
1059,411,L,M,conflict
1103,392,L,S,conflict
1077,408,L,M,conflict
1117,425,L,L,match
1183,430,XXL,XL,conflict
1049,394,M,S,conflict
1147,414,XL,M,conflict
1059,426,L,L,match
1130,433,XL,XL,match
1193,452,XXL,XXL,match
977,403,S,S,match
1072,427,L,L,match
1098,406,L,M,conflict
951,412,S,M,conflict
1027,406,M,M,match
1090,404,L,M,conflict
1163,428,XL,L,conflict
1045,415,M,M,match
1056,411,M,M,match
1078,398,L,S,conflict
1022,387,M,S,conflict
1165,412,XL,M,conflict
1040,392,M,S,conflict
1142,419,XL,L,conflict
1226,431,XXL,XL,conflict
1126,430,XL,XL,match
1044,435,M,XL,conflict
1094,411,L,M,conflict
1118,443,XL,XXL,conflict
1026,418,M,L,conflict
1060,408,L,M,conflict
1084,405,L,M,conflict
1099,411,L,M,conflict
1054,411,M,M,match
1070,418,L,L,match
1101,410,L,M,conflict
1103,453,L,XXXL,conflict
1009,425,M,L,conflict
1015,413,M,M,match
1117,408,L,M,conflict
1033,407,M,M,match
1206,433,XXL,XL,conflict
1113,429,L,XL,conflict
1069,386,L,S,conflict
1048,424,M,L,conflict
1038,404,M,M,match
1125,432,XL,XL,match
1028,398,M,S,conflict
1140,417,XL,L,conflict
1043,398,M,S,conflict
1022,415,M,M,match
1077,409,L,M,conflict
879,404,XS,M,conflict
1178,441,XXL,XL,conflict
1076,421,L,L,match
1114,425,L,L,match
1143,441,XL,XL,match
1057,426,L,L,match
1149,451,XL,XXL,conflict
978,421,S,L,conflict
1076,408,L,M,conflict
1089,398,L,S,conflict
1160,416,XL,L,conflict
1012,422,M,L,conflict
961,416,S,L,conflict
1186,442,XXL,XXL,match
1137,399,XL,S,conflict
999,394,M,S,conflict
1027,404,M,M,match
1076,394,L,S,conflict
997,358,M,XS,conflict
1007,401,M,S,conflict
1003,420,M,L,conflict
1027,400,M,S,conflict
1143,442,XL,XXL,conflict
1009,428,M,L,conflict
1052,413,M,M,match
1272,429,XXXL,XL,conflict
1094,417,L,L,match
1134,406,XL,M,conflict
1135,410,XL,M,conflict
983,427,S,L,conflict
1073,403,L,S,conflict
1125,414,XL,M,conflict
1021,416,M,L,conflict
1042,393,M,S,conflict
1148,419,XL,L,conflict
1092,393,L,S,conflict
922,419,XS,L,conflict
899,402,XS,S,conflict
1087,414,L,M,conflict
1166,436,XL,XL,match
1047,402,M,S,conflict
1148,426,XL,L,conflict
1051,405,M,M,match
1132,425,XL,L,conflict
1069,441,L,XL,conflict
907,405,XS,M,conflict
1163,445,XL,XXL,conflict
1243,452,XXXL,XXL,conflict
1074,418,L,L,match
993,404,S,M,conflict
940,391,S,S,match
1024,420,M,L,conflict
1151,428,XL,L,conflict
1133,421,XL,L,conflict
1017,413,M,M,match
1027,424,M,L,conflict
1219,434,XXL,XL,conflict
1043,369,M,XS,conflict
1042,418,M,L,conflict
1051,389,M,S,conflict
1009,394,M,S,conflict
1072,388,L,S,conflict
1011,397,M,S,conflict
1023,403,M,S,conflict
1152,420,XL,L,conflict
1036,447,M,XXL,conflict
872,365,XS,XS,match
1167,417,XL,L,conflict
995,446,S,XXL,conflict
1168,426,XL,L,conflict
1213,441,XXL,XL,conflict
949,416,S,L,conflict
1157,421,XL,L,conflict
1035,406,M,M,match
1037,412,M,M,match
1099,430,L,XL,conflict
1038,401,M,S,conflict
1066,414,L,M,conflict
1048,403,M,S,conflict
1003,407,M,M,match
1137,413,XL,M,conflict
1142,442,XL,XXL,conflict
1046,417,M,L,conflict
1067,411,L,M,conflict
1096,407,L,M,conflict
1167,412,XL,M,conflict
1026,422,M,L,conflict
964,392,S,S,match
1317,444,XXXL,XXL,conflict
1136,465,XL,XXXL,conflict
967,428,S,L,conflict
1015,423,M,L,conflict
1242,414,XXXL,M,conflict
1214,438,XXL,XL,conflict
1168,431,XL,XL,match
928,397,S,S,match
1144,422,XL,L,conflict
976,388,S,S,match
890,413,XS,M,conflict
1072,417,L,L,match
1008,410,M,M,match
1072,426,L,L,match
937,401,S,S,match
1106,423,L,L,match
1201,408,XXL,M,conflict
1052,413,M,M,match
922,409,XS,M,conflict
