chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1012,338,XL,S,conflict
917,355,M,M,match
979,359,L,M,conflict
877,364,S,M,conflict
824,337,XS,S,conflict
889,351,S,S,match
960,411,L,XXXL,conflict
983,367,L,L,match
976,369,L,L,match
1029,376,XL,L,conflict
915,348,M,S,conflict
922,390,M,XXL,conflict
992,346,L,S,conflict
1015,393,XL,XXL,conflict
945,378,L,L,match
843,350,S,S,match
1096,386,XXL,XL,conflict
974,373,L,L,match
1032,388,XL,XL,match
882,390,S,XXL,conflict
1013,360,XL,M,conflict
899,389,M,XL,conflict
847,339,S,S,match
953,387,L,XL,conflict
993,339,L,S,conflict
897,354,M,M,match
1015,380,XL,XL,match
924,362,M,M,match
737,327,XS,XS,match
962,398,L,XXL,conflict
998,357,L,M,conflict
937,364,M,M,match
1004,390,XL,XXL,conflict
924,380,M,XL,conflict
1023,361,XL,M,conflict
887,375,S,L,conflict
950,374,L,L,match
917,357,M,M,match
1052,362,XL,M,conflict
868,354,S,M,conflict
861,372,S,L,conflict
980,378,L,L,match
945,380,L,XL,conflict
857,338,S,S,match
885,334,S,XS,conflict
994,365,L,M,conflict
1202,400,XXXL,XXL,conflict
982,370,L,L,match
882,369,S,L,conflict
1208,391,XXXL,XXL,conflict
930,380,M,XL,conflict
985,331,L,XS,conflict
922,369,M,L,conflict
889,347,S,S,match
792,312,XS,XS,match
997,354,L,M,conflict
1051,360,XL,M,conflict
908,364,M,M,match
964,365,L,M,conflict
980,311,L,XS,conflict
972,361,L,M,conflict
921,390,M,XXL,conflict
1003,378,XL,L,conflict
1035,384,XL,XL,match
863,361,S,M,conflict
939,333,M,XS,conflict
980,372,L,L,match
1030,363,XL,M,conflict
1035,356,XL,M,conflict
933,367,M,L,conflict
860,369,S,L,conflict
873,374,S,L,conflict
976,375,L,L,match
1003,386,XL,XL,match
951,388,L,XL,conflict
924,335,M,XS,conflict
966,358,L,M,conflict
1022,363,XL,M,conflict
947,372,L,L,match
941,361,L,M,conflict
1066,380,XXL,XL,conflict
1091,356,XXL,M,conflict
953,387,L,XL,conflict
904,374,M,L,conflict
900,366,M,L,conflict
1013,371,XL,L,conflict
1147,367,XXXL,L,conflict
874,355,S,M,conflict
1214,419,XXXL,XXXL,match
893,362,M,M,match
902,338,M,S,conflict
940,378,M,L,conflict
989,354,L,M,conflict
1033,376,XL,L,conflict
995,384,L,XL,conflict
1154,363,XXXL,M,conflict
1172,361,XXXL,M,conflict
870,359,S,M,conflict
1110,388,XXL,XL,conflict
982,363,L,M,conflict
897,355,M,M,match
966,402,L,XXXL,conflict
838,350,S,S,match
996,381,L,XL,conflict
1006,345,XL,S,conflict
882,351,S,S,match
1035,365,XL,M,conflict
895,358,M,M,match
1053,383,XL,XL,match
882,360,S,M,conflict
1036,380,XL,XL,match
876,374,S,L,conflict
964,370,L,L,match
935,374,M,L,conflict
1098,362,XXL,M,conflict
924,361,M,M,match
1032,383,XL,XL,match
923,357,M,M,match
934,354,M,M,match
1077,352,XXL,S,conflict
1098,380,XXL,XL,conflict
907,336,M,S,conflict
726,355,XS,M,conflict
1090,347,XXL,S,conflict
836,364,S,M,conflict
901,356,M,M,match
1023,387,XL,XL,match
980,348,L,S,conflict
976,382,L,XL,conflict
922,386,M,XL,conflict
1126,375,XXXL,L,conflict
892,374,M,L,conflict
1000,348,XL,S,conflict
864,359,S,M,conflict
